Date,In,Out,Station,Seq,Route,InVerifyDate,OutVerifyDate
2010/08/01,0,0,松江南京站,5,松山新店線,99年8月,
2010/09/01,0,0,松江南京站,5,松山新店線,99年9月,
2010/10/01,0,0,松江南京站,5,松山新店線,99年10月,
2010/11/01,340002,334197,松江南京站,5,松山新店線,99年11月,
2010/12/01,334048,349150,松江南京站,5,松山新店線,99年12月,
2011/01/01,333135,355675,松江南京站,5,松山新店線,100年1月,
2011/02/01,260800,278235,松江南京站,5,松山新店線,100年2月,
2011/03/01,370451,393061,松江南京站,5,松山新店線,100年3月,
2011/04/01,331963,355201,松江南京站,5,松山新店線,100年4月,
2011/05/01,373050,397215,松江南京站,5,松山新店線,100年5月,
2011/06/01,361001,388008,松江南京站,5,松山新店線,100年6月,
2011/07/01,381819,415201,松江南京站,5,松山新店線,100年7月,
2011/08/01,404107,441700,松江南京站,5,松山新店線,100年8月,
2011/09/01,381879,409109,松江南京站,5,松山新店線,100年9月,
2011/10/01,385879,412648,松江南京站,5,松山新店線,100年10月,
2011/11/01,414252,440196,松江南京站,5,松山新店線,100年11月,
2011/12/01,438179,470675,松江南京站,5,松山新店線,100年12月,
2012/01/01,394954,429188,松江南京站,5,松山新店線,101年1月,
2012/02/01,457146,494033,松江南京站,5,松山新店線,101年2月,
2012/03/01,519172,560229,松江南京站,5,松山新店線,101年3月,
2012/04/01,483063,518847,松江南京站,5,松山新店線,101年4月,
2012/05/01,514867,558867,松江南京站,5,松山新店線,101年5月,
2012/06/01,508914,553731,松江南京站,5,松山新店線,101年6月,
2012/07/01,528290,582407,松江南京站,5,松山新店線,101年7月,
2012/08/01,541078,592925,松江南京站,5,松山新店線,101年8月,
2012/09/01,522379,566555,松江南京站,5,松山新店線,101年9月,
2012/10/01,675376,729277,松江南京站,5,松山新店線,101年10月,
2012/11/01,703934,760365,松江南京站,5,松山新店線,101年11月,
2012/12/01,726564,788461,松江南京站,5,松山新店線,101年12月,
2013/01/01,744599,822141,松江南京站,5,松山新店線,102年1月,
2013/02/01,546497,604255,松江南京站,5,松山新店線,102年2月,
2013/03/01,748405,814453,松江南京站,5,松山新店線,102年3月,
2013/04/01,718579,786266,松江南京站,5,松山新店線,102年4月,
2013/05/01,766007,842590,松江南京站,5,松山新店線,102年5月,
2013/06/01,699915,763492,松江南京站,5,松山新店線,102年6月,
2013/07/01,785824,860078,松江南京站,5,松山新店線,102年7月,
2013/08/01,772991,841241,松江南京站,5,松山新店線,102年8月,
2013/09/01,735157,789984,松江南京站,5,松山新店線,102年9月,
2013/10/01,808608,864246,松江南京站,5,松山新店線,102年10月,
2013/11/01,804647,858556,松江南京站,5,松山新店線,102年11月,
2013/12/01,894089,950952,松江南京站,5,松山新店線,102年12月,
2014/01/01,807739,875586,松江南京站,5,松山新店線,103年1月,
2014/02/01,735419,790908,松江南京站,5,松山新店線,103年2月,
2014/03/01,877205,944361,松江南京站,5,松山新店線,103年3月,
2014/04/01,831881,901161,松江南京站,5,松山新店線,103年4月,
2014/05/01,851991,930215,松江南京站,5,松山新店線,103年5月,
2014/06/01,787970,858479,松江南京站,5,松山新店線,103年6月,
2014/07/01,839716,919944,松江南京站,5,松山新店線,103年7月,
2014/08/01,835108,919114,松江南京站,5,松山新店線,103年8月,
2014/09/01,831721,900135,松江南京站,5,松山新店線,103年9月,
2014/10/01,879595,955219,松江南京站,5,松山新店線,103年10月,
2014/11/01,946677,997275,松江南京站,5,松山新店線,103年11月,
2014/12/01,1044984,1081563,松江南京站,5,松山新店線,103年12月,
2015/01/01,910104,955384,松江南京站,5,松山新店線,104年1月,
2015/02/01,737315,783621,松江南京站,5,松山新店線,104年2月,
2015/03/01,965357,1006219,松江南京站,5,松山新店線,104年3月,
2015/04/01,891690,933663,松江南京站,5,松山新店線,104年4月,
2015/05/01,931434,978639,松江南京站,5,松山新店線,104年5月,
2015/06/01,899329,941409,松江南京站,5,松山新店線,104年6月,
2015/07/01,956710,1010043,松江南京站,5,松山新店線,104年7月,
2000/01/01,652464,695401,中山站,6,松山新店線,89年1月,
2000/02/01,623247,638501,中山站,6,松山新店線,89年2月,
2000/03/01,659398,700909,中山站,6,松山新店線,89年3月,
2000/04/01,620702,649317,中山站,6,松山新店線,89年4月,
2000/05/01,682852,723708,中山站,6,松山新店線,89年5月,
2000/06/01,642083,673069,中山站,6,松山新店線,89年6月,
2000/07/01,715425,736979,中山站,6,松山新店線,89年7月,
2000/08/01,728144,753864,中山站,6,松山新店線,89年8月,
2000/09/01,677120,707719,中山站,6,松山新店線,89年9月,
2000/10/01,729163,759624,中山站,6,松山新店線,89年10月,
2000/11/01,662367,687683,中山站,6,松山新店線,89年11月,
2000/12/01,774046,798525,中山站,6,松山新店線,89年12月,
2001/01/01,741707,766966,中山站,6,松山新店線,90年1月,
2001/02/01,717506,738042,中山站,6,松山新店線,90年2月,
2001/03/01,761015,787196,中山站,6,松山新店線,90年3月,
2001/04/01,693631,718323,中山站,6,松山新店線,90年4月,
2001/05/01,760068,783295,中山站,6,松山新店線,90年5月,
2001/06/01,728506,748836,中山站,6,松山新店線,90年6月,
2001/07/01,770488,794217,中山站,6,松山新店線,90年7月,
2001/08/01,830298,841518,中山站,6,松山新店線,90年8月,
2001/09/01,378956,388897,中山站,6,松山新店線,90年9月,
2001/10/01,873875,920761,中山站,6,松山新店線,90年10月,
2001/11/01,888425,916196,中山站,6,松山新店線,90年11月,
2001/12/01,743312,761092,中山站,6,松山新店線,90年12月,
2002/01/01,735262,756937,中山站,6,松山新店線,91年1月,
2002/02/01,637555,654964,中山站,6,松山新店線,91年2月,
2002/03/01,729268,745518,中山站,6,松山新店線,91年3月,
2002/04/01,712026,723661,中山站,6,松山新店線,91年4月,
2002/05/01,758106,776641,中山站,6,松山新店線,91年5月,
2002/06/01,726305,739794,中山站,6,松山新店線,91年6月,
2002/07/01,788326,787105,中山站,6,松山新店線,91年7月,
2002/08/01,810280,823861,中山站,6,松山新店線,91年8月,
2002/09/01,716910,712581,中山站,6,松山新店線,91年9月,
2002/10/01,839908,855016,中山站,6,松山新店線,91年10月,
2002/11/01,767560,808206,中山站,6,松山新店線,91年11月,
2002/12/01,843764,886991,中山站,6,松山新店線,91年12月,
2003/01/01,820526,868852,中山站,6,松山新店線,92年1月,
2003/02/01,715445,752080,中山站,6,松山新店線,92年2月,
2003/03/01,796882,845626,中山站,6,松山新店線,92年3月,
2003/04/01,731639,770963,中山站,6,松山新店線,92年4月,
2003/05/01,557047,593817,中山站,6,松山新店線,92年5月,
2003/06/01,632302,673389,中山站,6,松山新店線,92年6月,
2003/07/01,794722,837138,中山站,6,松山新店線,92年7月,
2003/08/01,809972,853669,中山站,6,松山新店線,92年8月,
2003/09/01,765978,810917,中山站,6,松山新店線,92年9月,
2003/10/01,903513,956772,中山站,6,松山新店線,92年10月,
